FlightDate,AirlineCode,AirlineName,FlightNumber,OriginAirport,OriginCity,OriginState,DestAirport,DestCity,DestState,ScheduledDepTime,ActualDepTime,DepDelayMinutes,ScheduledArrTime,ActualArrTime,ArrDelayMinutes,Cancelled,CancellationReason,DistanceKM
1/1/2024,AA,American Airlines,1001,JFK,New York,NY,LAX,Los Angeles,CA,800,815,15,1100,1135,35,0,,3974
1/2/2024,DL,Delta Airlines,2034,ATL,Atlanta,GA,ORD,Chicago,IL,930,925,-5,1100,1050,-10,0,,975
1/3/2024,UA,United Airlines,778,SFO,San Francisco,CA,SEA,Seattle,WA,700,710,10,830,845,15,0,,1090
1/5/2024,AA,American Airlines,1099,JFK,New York,NY,MIA,Miami,FL,600,600,0,900,855,-5,0,,1757
1/7/2024,DL,Delta Airlines,445,DTW,Detroit,MI,DEN,Denver,CO,1200,1230,30,1400,1435,35,0,,1820
1/10/2024,UA,United Airlines,880,ORD,Chicago,IL,LAX,Los Angeles,CA,1400,1500,60,1630,1740,70,0,,2805
1/15/2024,AA,American Airlines,300,JFK,New York,NY,BOS,Boston,MA,900,905,5,1015,1020,5,0,,300
1/18/2024,DL,Delta Airlines,789,LAX,Los Angeles,CA,SEA,Seattle,WA,1600,1600,0,1830,1825,-5,0,,1545
1/22/2024,UA,United Airlines,901,DEN,Denver,CO,ATL,Atlanta,GA,1100,1130,30,1630,1700,30,0,,1935
1/25/2024,AA,American Airlines,455,PHX,Phoenix,AZ,DFW,Dallas,TX,1300,1400,60,1630,1745,75,1,Weather,1390
